BusinessShortNumber,BusinessNumber,IdBill,einigungskonferenz,einigungskonferenz_ang,LegislativePeriodNumber,rounds,diff,DepartmentAbbreviation,DepartmentName,year,pol_diff,lsq,party_pol
10.007,20100007,1337b39e-5cf3-47ae-aa40-62cdff890e3f,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.010,20100010,e0a0b13d-3a7b-443a-9e76-9be29305067f,0,NA,48,2,0,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.011,20100011,a4a75a83-b522-4a68-9947-8f406bf15cd4,0,NA,48,2,0,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.012,20100012,864b4494-b12b-49c5-a30f-d0df2f30eae4,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.013,20100013,0e1b8e11-3584-4728-b1e8-24faaba0dab9,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.014,20100014,e3163974-1347-4956-bca3-f98cfece747f,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.015,20100015,6af7b0a3-93a4-4805-a111-5567e3e09d5b,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.016,20100016,2107e831-1fc5-42cc-9a73-3bdac8ee95a4,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.017,20100017,3eb1fcbb-20fb-4f95-ad80-8c90873d7716,0,NA,48,2,0,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.017,20100017,d48f0599-7985-4599-99ed-c0352c416710,0,NA,48,4,2,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.019,20100019,ce519c70-a42d-4905-937c-f77f8631a5ac,0,NA,49,6,4,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,0.192964824120603,0.1709247800851348,2.833333333333333
10.022,20100022,33cfa040-c15a-469e-8bb7-c73fa895a4dc,0,NA,48,2,0,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.025,20100025,6a957a69-a7ec-4a5e-b53f-83c681144491,0,NA,48,2,0,EDA,Departement für auswärtige Angelegenheiten,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
